LL Insert,LL Search,BST Insert,BST Search
6.22E-05,3.44E-05,4.02E-06,1.13E-06
7.32E-05,3.40E-05,4.30E-06,6.82E-07
6.02E-05,3.44E-05,3.05E-06,9.16E-07
7.43E-05,2.95E-05,6.14E-06,7.47E-07
7.53E-05,3.90E-05,5.18E-06,6.07E-07
6.83E-05,3.84E-05,4.26E-06,4.61E-07
6.31E-05,4.14E-05,5.13E-06,1.32E-06
8.43E-05,3.60E-05,4.37E-06,9.55E-07
6.64E-05,2.16E-05,4.60E-06,6.39E-07
7.67E-05,4.02E-05,4.17E-06,1.01E-06
7.27E-05,4.12E-05,4.95E-06,1.10E-06
8.79E-05,2.92E-05,7.57E-06,1.10E-06
6.98E-05,3.79E-05,6.21E-06,9.59E-07
6.60E-05,3.13E-05,5.53E-06,9.32E-07
5.70E-05,4.87E-05,8.70E-06,7.95E-07
6.84E-05,4.73E-05,5.97E-06,1.08E-06
6.51E-05,5.79E-05,8.33E-06,7.86E-07
6.90E-05,5.31E-05,3.49E-06,7.51E-07
6.58E-05,5.52E-05,5.24E-06,6.13E-07
5.49E-05,5.40E-05,7.52E-06,9.58E-07
6.46E-05,3.45E-05,6.06E-06,1.35E-06
6.15E-05,3.86E-05,6.40E-06,7.90E-07
6.44E-05,4.72E-05,6.96E-06,1.27E-06
8.22E-05,3.61E-05,6.36E-06,1.25E-06
7.06E-05,5.14E-05,7.25E-06,1.29E-06
5.66E-05,4.66E-05,4.97E-06,4.07E-06
7.35E-05,4.41E-05,6.85E-06,2.08E-06
5.54E-05,3.71E-05,9.61E-06,1.56E-06
9.55E-05,5.95E-05,6.48E-06,2.11E-06
6.32E-05,3.40E-05,4.44E-06,2.02E-06
5.49E-05,2.68E-05,5.90E-06,1.33E-06
9.74E-05,4.34E-05,6.14E-06,1.92E-06
7.13E-05,4.50E-05,6.95E-06,2.02E-06
6.60E-05,5.27E-05,7.56E-06,1.38E-06
6.01E-05,5.08E-05,1.01E-05,1.11E-06
8.88E-05,6.13E-05,5.87E-06,1.13E-06
7.48E-05,5.17E-05,7.68E-06,1.12E-06
8.64E-05,4.13E-05,6.29E-06,1.23E-06
9.53E-05,4.81E-05,6.56E-06,1.01E-06
7.89E-05,4.25E-05,9.60E-06,1.76E-06
8.59E-05,4.32E-05,7.55E-06,1.93E-06
5.82E-05,5.01E-05,8.23E-06,1.88E-06
7.97E-05,4.43E-05,7.36E-06,1.88E-06
5.82E-05,3.84E-05,7.29E-06,2.29E-06
7.44E-05,4.84E-05,1.02E-05,2.33E-06
6.11E-05,3.42E-05,7.97E-06,2.17E-06
8.85E-05,3.80E-05,8.16E-06,2.73E-06
7.05E-05,3.77E-05,1.22E-05,2.48E-06
7.43E-05,5.33E-05,7.98E-06,1.54E-06
7.37E-05,4.81E-05,9.73E-06,1.37E-06
8.58E-05,5.03E-05,6.15E-06,1.00E-06
7.20E-05,5.52E-05,8.01E-06,2.13E-06
8.57E-05,4.32E-05,7.32E-06,1.86E-06
7.55E-05,4.42E-05,9.00E-06,2.01E-06
7.57E-05,5.13E-05,8.10E-06,3.78E-06
6.90E-05,4.36E-05,9.11E-06,3.37E-06
7.89E-05,4.36E-05,6.68E-06,1.78E-06
0.000114013,5.51E-05,8.02E-06,2.29E-06
9.25E-05,4.96E-05,6.99E-06,3.05E-06
0.00010557,4.86E-05,7.79E-06,2.11E-06
0.000107573,5.48E-05,7.80E-06,2.06E-06
9.38E-05,3.98E-05,7.65E-06,3.44E-06
9.50E-05,5.07E-05,7.32E-06,2.66E-06
9.41E-05,4.54E-05,6.82E-06,3.10E-06
8.85E-05,5.36E-05,1.67E-05,2.58E-06
9.56E-05,4.84E-05,9.65E-06,1.84E-06
7.47E-05,4.90E-05,8.23E-06,2.79E-06
8.39E-05,5.33E-05,7.06E-06,2.83E-06
7.99E-05,4.71E-05,1.31E-05,1.39E-06
9.54E-05,6.62E-05,8.01E-06,2.87E-06
8.39E-05,4.59E-05,6.90E-06,2.75E-06
9.48E-05,4.85E-05,4.47E-06,3.76E-06
9.86E-05,5.29E-05,8.57E-06,2.90E-06
9.12E-05,3.84E-05,1.03E-05,3.04E-06
0.000102818,4.53E-05,1.64E-05,3.58E-06
0.00010529,6.25E-05,1.28E-05,2.22E-06
9.19E-05,5.12E-05,1.19E-05,1.52E-06
9.65E-05,5.71E-05,1.01E-05,2.33E-06
9.57E-05,5.65E-05,8.53E-06,1.58E-06
8.37E-05,5.79E-05,8.65E-06,2.09E-06
9.12E-05,5.90E-05,8.99E-06,2.49E-06
7.79E-05,6.37E-05,9.36E-06,2.54E-06
9.39E-05,6.27E-05,1.48E-05,3.53E-06
8.30E-05,5.13E-05,1.36E-05,5.36E-06
0.000115157,6.83E-05,1.17E-05,3.27E-06
0.000107376,6.51E-05,8.85E-06,3.51E-06
8.33E-05,6.46E-05,9.30E-06,1.85E-06
8.35E-05,5.16E-05,1.62E-05,2.93E-06
9.59E-05,4.43E-05,8.04E-06,2.00E-06
0.000103223,6.41E-05,1.25E-05,2.96E-06
8.21E-05,6.87E-05,1.10E-05,2.29E-06
0.000101955,5.26E-05,1.17E-05,1.72E-06
9.31E-05,4.79E-05,8.01E-06,1.92E-06
0.000122195,4.12E-05,1.25E-05,1.96E-06
0.00012083,6.49E-05,7.48E-06,1.73E-06
9.56E-05,5.61E-05,9.44E-06,1.73E-06
9.39E-05,4.32E-05,1.18E-05,1.99E-06
0.000108365,5.32E-05,6.71E-06,2.11E-06
0.000117625,5.97E-05,1.10E-05,2.34E-06
0.000105302,6.19E-05,9.48E-06,2.77E-06
0.000108825,6.50E-05,1.07E-05,4.19E-06
0.000105292,5.47E-05,1.10E-05,3.06E-06
0.000112994,6.17E-05,1.18E-05,2.56E-06
0.000121361,5.66E-05,1.03E-05,2.51E-06
0.000103344,7.05E-05,1.17E-05,2.51E-06
0.000107992,7.39E-05,1.33E-05,2.19E-06
0.000100781,7.57E-05,1.01E-05,2.27E-06
7.51E-05,5.94E-05,9.46E-06,1.59E-06
8.27E-05,6.26E-05,1.07E-05,2.01E-06
8.86E-05,6.52E-05,1.32E-05,2.13E-06
0.000115827,6.40E-05,1.09E-05,2.70E-06
9.73E-05,6.66E-05,1.24E-05,1.72E-06
9.35E-05,7.63E-05,1.29E-05,1.87E-06
0.000100662,6.71E-05,7.47E-06,1.99E-06
0.000108554,7.47E-05,1.24E-05,2.01E-06
0.000103885,6.95E-05,9.41E-06,2.77E-06
9.41E-05,6.83E-05,1.83E-05,2.12E-06
