Insert,Search
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,2.00E-08
7.00E-08,2.00E-08
7.00E-08,3.00E-08
6.00E-08,2.00E-08
7.00E-08,3.00E-08
7.00E-08,2.00E-08
7.00E-08,3.00E-08
7.00E-08,2.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
6.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,2.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
9.00E-08,3.00E-08
7.00E-08,3.00E-08
7.00E-08,3.00E-08
8.00E-08,3.00E-08
8.00E-08,3.00E-08
8.00E-08,3.00E-08
8.00E-08,3.00E-08
7.00E-08,3.00E-08
8.00E-08,3.00E-08
8.00E-08,3.00E-08
7.00E-08,3.00E-08
8.00E-08,3.00E-08
1.00E-07,3.00E-08
1.10E-07,3.00E-08
2.20E-07,3.00E-08
8.00E-08,3.00E-08
8.00E-08,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
8.00E-08,3.00E-08
7.00E-08,3.00E-08
8.00E-08,3.00E-08
1.10E-07,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
9.00E-08,2.00E-08
1.20E-07,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
8.00E-08,3.00E-08
9.00E-08,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
9.00E-08,3.00E-08
1.50E-07,2.00E-08
7.90E-07,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
2.90E-07,3.00E-08
1.00E-07,2.00E-08
1.20E-07,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
9.00E-08,3.00E-08
5.30E-07,3.00E-08
1.00E-07,3.00E-08
1.10E-07,3.00E-08
1.00E-07,3.00E-08
1.10E-07,4.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
1.30E-07,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
1.00E-07,3.00E-08
1.10E-07,3.00E-08
1.00E-07,1.10E-07
1.00E-07,4.00E-08
1.30E-07,3.00E-08
1.00E-07,3.00E-08
1.10E-07,4.00E-08
1.20E-07,3.00E-08
1.10E-07,3.00E-08
1.10E-07,3.00E-08
1.20E-07,3.00E-08
1.10E-07,4.00E-08
1.10E-07,3.00E-08
1.10E-07,3.00E-08
1.00E-07,4.00E-08
1.10E-07,3.00E-08
1.50E-07,5.00E-08
1.20E-07,6.00E-08
1.60E-07,6.00E-08
1.40E-07,5.00E-08
1.50E-07,5.00E-08
1.40E-07,6.00E-08
1.60E-07,6.00E-08
1.40E-07,7.00E-08
1.80E-07,2.00E-07
1.70E-07,7.00E-08
1.50E-07,6.00E-08
1.70E-07,6.00E-08
1.60E-07,7.00E-08
1.30E-07,7.00E-08
1.90E-07,6.00E-08
1.80E-07,7.00E-08
2.20E-07,7.00E-08
1.70E-07,7.00E-08
1.70E-07,7.00E-08
2.30E-07,7.00E-08
1.60E-07,7.00E-08
1.90E-07,7.00E-08
2.10E-07,7.00E-08
2.10E-07,8.00E-08
2.80E-07,7.00E-08
2.40E-07,7.00E-08
2.50E-07,6.00E-08
2.20E-07,8.00E-08
2.80E-07,8.00E-08
2.30E-07,7.00E-08
4.10E-07,6.00E-08
2.80E-07,6.00E-08
3.60E-07,6.00E-08
3.30E-07,6.00E-08
3.20E-07,7.00E-08
4.40E-07,7.00E-08
3.90E-07,7.00E-08
3.70E-07,8.00E-08
6.10E-07,6.00E-08
4.20E-07,1.00E-07
5.90E-07,1.10E-07
5.60E-07,7.00E-08
4.40E-07,1.20E-07
5.70E-07,7.00E-08
5.20E-07,9.00E-08
1.28E-06,9.00E-08
1.27E-06,8.00E-08
1.23E-06,7.00E-08
1.94E-06,7.00E-08
1.52E-06,7.00E-08
9.00E-07,6.00E-08
1.03E-06,8.00E-08
1.28E-06,6.00E-08
1.65E-06,1.00E-07
1.28E-06,1.30E-07
1.35E-06,8.00E-08
1.86E-06,1.10E-07
1.92E-06,1.40E-07
1.66E-06,1.10E-07
2.45E-06,8.00E-08
2.32E-06,1.20E-07
4.46E-06,1.70E-07
5.41E-06,2.20E-07
4.93E-06,1.90E-07
9.03E-06,3.20E-07
9.94E-06,1.30E-07
1.67E-05,8.00E-08
1.77E-05,2.00E-07
2.83E-05,1.50E-07
6.57E-05,1.52E-06
