Insert Times,Search Times,Insert Collisions,Search Collisions
6.00E-08,9.00E-08,,
5.00E-08,1.40E-07,3935,1671
6.00E-08,1.00E-07,,
6.00E-08,9.00E-08,,
6.00E-08,1.00E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,9.00E-08,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
7.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.00E-07,,
6.00E-08,9.00E-08,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
1.90E-07,1.00E-07,,
7.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
7.00E-08,8.00E-08,,
6.00E-08,6.00E-08,,
6.00E-08,7.00E-08,,
2.70E-07,6.00E-08,,
7.00E-08,8.00E-08,,
8.00E-08,7.00E-08,,
9.00E-08,8.00E-08,,
8.00E-08,8.00E-08,,
8.00E-08,8.00E-08,,
7.00E-08,9.00E-08,,
7.00E-08,1.10E-07,,
3.40E-07,1.10E-07,,
1.00E-07,1.00E-07,,
1.00E-07,1.10E-07,,
1.00E-07,1.10E-07,,
9.00E-08,1.00E-07,,
6.00E-08,1.10E-07,,
5.00E-08,1.00E-07,,
5.00E-08,1.10E-07,,
6.00E-08,1.20E-07,,
5.00E-08,1.00E-07,,
5.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
5.00E-08,1.10E-07,,
5.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.00E-07,,
5.00E-08,1.10E-07,,
6.00E-08,9.00E-08,,
5.00E-08,8.00E-08,,
6.00E-08,9.00E-08,,
6.00E-08,8.00E-08,,
6.00E-08,7.00E-08,,
5.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,9.00E-08,,
7.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
6.00E-08,7.00E-08,,
6.00E-08,8.00E-08,,
6.00E-08,8.00E-08,,
9.10E-07,8.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,6.00E-08,,
7.00E-08,8.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,8.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
5.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
5.00E-08,8.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,9.00E-08,,
6.00E-08,8.00E-08,,
6.00E-08,6.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,7.00E-08,,
6.00E-08,9.00E-08,,
6.00E-08,7.00E-08,12301,4759
6.00E-08,7.00E-08,,
6.00E-08,1.20E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.00E-07,,
6.00E-08,8.00E-08,,
6.00E-08,1.20E-07,,
6.00E-08,1.20E-07,,
6.00E-08,1.10E-07,,
5.00E-08,1.20E-07,,
7.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
5.00E-08,1.20E-07,,
6.00E-08,1.20E-07,,
6.00E-08,1.00E-07,,
5.00E-08,1.20E-07,,
6.00E-08,1.00E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.30E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.20E-07,,
6.00E-08,1.20E-07,,
6.00E-08,1.20E-07,,
7.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
5.00E-08,1.30E-07,,
6.00E-08,1.20E-07,,
5.00E-08,1.00E-07,,
7.00E-08,1.20E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.20E-07,,
6.00E-08,1.20E-07,,
6.00E-08,1.10E-07,,
6.00E-08,1.20E-07,,
1.30E-07,1.10E-07,,
8.00E-08,1.00E-07,,
8.00E-08,1.10E-07,,
8.00E-08,1.20E-07,,
8.00E-08,1.10E-07,,
8.00E-08,1.10E-07,,
8.00E-08,1.30E-07,,
8.00E-08,1.20E-07,,
1.10E-07,1.10E-07,,
